date_time,incident_number,location,location,ori
1/3/2024 9:01,2024-00000496,400 S FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 9:08,2024-00000497,1400 N FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 9:11,2024-00000105,809 IOWA ST,Sick Person,14005
1/3/2024 9:11,2024-00000134,809 IOWA ST,Sick Person,EMSSTAT
1/3/2024 9:11,2024-00000498,10020 E FRANKLIN RD,Animal Complaint,OK0140200
1/3/2024 9:13,2024-00000499,715 BILOXI DR,Animal Complaint,OK0140200
1/3/2024 9:20,2024-00000500,ALAMEDA ST / CLASSEN BLVD,Traffic Stop,OK0140200
1/3/2024 9:20,2024-00000501,800 W ROBINSON ST,Traffic Stop,OK0140200
1/3/2024 9:21,2024-00000502,11270 ETOWAH RD,Traffic Stop,OK0140200
1/3/2024 9:26,2024-00000503,E MAIN ST / N PORTER AVE,Traffic Stop,OK0140200
1/3/2024 9:27,2024-00000504,410 IOWA ST,Disturbance/Domestic,OK0140200
1/3/2024 9:33,2024-00000506,323 E MOSIER ST,Trespassing,OK0140200
1/3/2024 9:35,2024-00000106,2201 W BROOKS ST,Cardiac Respritory Arrest,14005
1/3/2024 9:35,2024-00000136,2201 W BROOKS ST,Cardiac Respritory Arrest,EMSSTAT
1/3/2024 9:35,2024-00000505,2201 W BROOKS ST,Body Reported,OK0140200
1/3/2024 9:36,2024-00000140,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 9:39,2024-00000107,518 TRINIDAD DR,Breathing Problems,14005
1/3/2024 9:39,2024-00000137,518 TRINIDAD DR,Chest Pain,EMSSTAT
1/3/2024 9:41,2024-00000508,7801 96TH AVE NE,Vandalism,OK0140200
1/3/2024 9:43,2024-00000507,2900 W LINDSEY ST,Welfare Check,OK0140200
1/3/2024 9:45,2024-00000109,1600 WESTHEIMER DR,Assist Police,14005
1/3/2024 9:45,2024-00000510,1600 WESTHEIMER DR,Test Call,OK0140200
1/3/2024 9:48,2024-00000517,E ROBINSON ST / 12TH AVE NE,Animal Dead,OK0140200
1/3/2024 9:50,2024-00000509,709 SHADOWLAKE RD,Follow Up,OK0140200
1/3/2024 9:58,2024-00000108,200 S PETERS AVE,Convulsion/Seizure,14005
1/3/2024 9:58,2024-00000138,200 S PETERS AVE,Convulsion/Seizure,EMSSTAT
1/3/2024 10:21,2024-00000516,3550 W ROBINSON ST,Fraud,OK0140200
1/3/2024 10:22,2024-00000511,1400 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 10:25,2024-00000512,555 W MAIN ST,Traffic Stop,OK0140200
1/3/2024 10:26,2024-00000515,E MAIN ST / N CRAWFORD AVE MVA,Non Injury,OK0140200
1/3/2024 10:28,2024-00000514,3750 W MAIN ST,Alarm,OK0140200
1/3/2024 10:30,2024-00000513,1608 OAKWOOD DR,Welfare Check,OK0140200
1/3/2024 10:36,2024-00000141,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 10:43,2024-00000110,3204 SUMMIT BEND,Abdominal Pains/Problems,14005
1/3/2024 10:43,2024-00000142,3204 SUMMIT BEND,Abdominal Pains/Problems,EMSSTAT
1/3/2024 10:50,2024-00000111,602 WELSTON CIR,Convulsion/Seizure,14005
1/3/2024 10:50,2024-00000143,602 WELSTON CIR,Convulsion/Seizure,EMSSTAT
1/3/2024 10:51,2024-00000156,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 10:57,2024-00000518,1185 S BERRY RD,Traffic Stop,OK0140200
1/3/2024 10:57,2024-00000519,210 S COCKREL AVE,Alarm Holdup/Panic,OK0140200
1/3/2024 10:58,2024-00000112,2301 36TH AVE NW,Falls,14005
1/3/2024 10:58,2024-00000144,2301 36TH AVE NW,Falls,EMSSTAT
1/3/2024 11:02,2024-00000113,200 VICKSBURG AVE,Hemorrhage/Lacerations,14005
1/3/2024 11:02,2024-00000145,200 VICKSBURG AVE,Sick Person,EMSSTAT
1/3/2024 11:09,2024-00000521,N STEWART AVE / E ROBINSON ST,Welfare Check,OK0140200
1/3/2024 11:10,2024-00000520,1100 OAK TREE AVE,Supplement Report,OK0140200
1/3/2024 11:12,2024-00000522,300 W BOYD ST,Parking Problem,OK0140200
1/3/2024 11:12,2024-00000523,10621 E STATE HWY 9 HWY,Supplement Report,OK0140200
1/3/2024 11:14,2024-00000534,N PORTER AVE / SANDPIPER LN,Animal at Large,OK0140200
1/3/2024 11:17,2024-00000524,W ROBINSON ST / N FLOOD AVE,Disturbance/Domestic,OK0140200
1/3/2024 11:25,2024-00000525,E EUFAULA ST / S STEWART AVE,Contact a Subject,OK0140200
1/3/2024 11:27,2024-00000526,E LINDSEY ST / 12TH AVE SE,Shots Heard,OK0140200
1/3/2024 11:31,2024-00000527,709 SHADOWLAKE RD,Stolen Vehicle,OK0140200
1/3/2024 11:36,2024-00000528,3550WEST ROBINSON,Follow Up,OK0140200
1/3/2024 11:40,2024-00000146,1544,OK-9 Chest Pain,EMSSTAT
1/3/2024 11:43,2024-00000150,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 11:44,2024-00000529,1900 E LINDSEY ST,Mutual Aid,OK0140200
1/3/2024 11:45,2024-00000531,801 HOOVER ST,Supplement Report,OK0140200
1/3/2024 11:47,2024-00000114,622 N PORTER AVE,Assault EMS Needed,14005
1/3/2024 11:47,2024-00000147,622 N PORTER AVE,Assault EMS Needed,EMSSTAT
1/3/2024 11:47,2024-00000530,622 N PORTER AVE,Disturbance/Domestic,OK0140200
1/3/2024 11:50,2024-00000532,JENKINS AVE / E BOYD ST,Traffic Stop,OK0140200
1/3/2024 11:53,2024-00000533,1136 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 11:55,2024-00000553,116 E DALE ST,Burglary,OK0140200
1/3/2024 11:57,2024-00000535,7620 E BETHEL RD,Animal Complaint,OK0140200
1/3/2024 12:07,2024-00000115,809 ANNIE CT,Public Assist,14005
1/3/2024 12:09,2024-00000536,1154 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 12:13,2024-00000148,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 12:18,2024-00000537,1467 BEAUMONT ST,Traffic Stop,OK0140200
1/3/2024 12:19,2024-00000538,AVONDALE DR / S BERRY RD,Traffic Stop,OK0140200
1/3/2024 12:24,2024-00000539,1345 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 12:25,2024-00000540,2325 W ROBINSON ST,Traffic Stop,OK0140200
1/3/2024 12:28,2024-00000541,1200 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 12:29,2024-00000542,123 CRESTLAND DR,Disturbance/Domestic,OK0140200
1/3/2024 12:35,2024-00000153,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 12:37,2024-00000543,1214 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 12:38,2024-00000544,3600 W ROBINSON ST,Traffic Stop,OK0140200
1/3/2024 12:40,2024-00000545,2841 CLASSEN BLVD,Contact a Subject,OK0140200
1/3/2024 12:43,2024-00000547,122 36TH AVE NW,Fraud,OK0140200
1/3/2024 12:44,2024-00000549,24TH AVE NW / HEMPHILL DR,Hit and Run,OK0140200
1/3/2024 12:46,2024-00000546,1215 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 12:47,2024-00000151,4554 W MAIN ST,Sick Person,EMSSTAT
1/3/2024 12:47,2024-00000548,1215 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 12:48,2024-00000116,4233 WILL,Fire Alarm,14005
1/3/2024 12:53,2024-00000550,1213 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 12:54,2024-00000551,1028 E MAIN ST,Contact a Subject,OK0140200
1/3/2024 12:59,2024-00000552,1150 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 13:02,2024-00000554,222 E LINDSEY ST,Follow Up,OK0140200
1/3/2024 13:05,2024-00000555,1214 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 13:12,2024-00000556,121 WILLOWAY DR,Animal Vicious,OK0140200
1/3/2024 13:13,2024-00000603,1219 NORTHERN HILLS RD,Assault,OK0140200
1/3/2024 13:13,2024-00000557,1214 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 13:14,2024-00000558,1136 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 13:15,2024-00000559,1219 24TH AVE NE COP,DDACTS,OK0140200
1/3/2024 13:16,2024-00000560,965 24TH AVE NE,Traffic Stop,OK0140200
1/3/2024 13:16,2024-00000561,JACKSON DR / 24TH AVE NE,Contact a Subject,OK0140200
1/3/2024 13:16,2024-00000563,4111 W MAIN ST,Disturbance/Domestic,OK0140200
1/3/2024 13:17,2024-00000562,815 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 13:18,2024-00000572,604 DAKOTA ST,Fraud,OK0140200
1/3/2024 13:23,2024-00000566,N FLOOD AVE / W ROBINSON ST MVA,Non Injury,OK0140200
1/3/2024 13:30,2024-00000564,MIMOSA DR / N PORTER AVE,Traffic Stop,OK0140200
1/3/2024 13:30,2024-00000565,2900 CHAUTAUQUA AVE,Mutual Aid,OK0140200
1/3/2024 13:31,2024-00000569,908 BRANCHWOOD CT,Animal Vicious,OK0140200
1/3/2024 13:36,2024-00000601,416 LAKE GROVE CT,Found Item,OK0140200
1/3/2024 13:36,2024-00000567,5509 ALAMEDA ST,Traffic Stop,OK0140200
1/3/2024 13:37,2024-00000568,1767 N PORTER AVE,Traffic Stop,OK0140200
1/3/2024 13:41,2024-00000160,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 13:43,2024-00000570,1170 24TH AVE NE,Traffic Stop,OK0140200
1/3/2024 13:44,2024-00000571,1745 N PORTER AVE,Traffic Stop,OK0140200
1/3/2024 13:45,2024-00000152,1776 E ROBINSON ST,Falls,EMSSTAT
1/3/2024 13:50,2024-00000573,120 72ND AVE NE,Traffic Stop,OK0140200
1/3/2024 13:50,2024-00000119,1600 WESTHEIMER DR,Assist Police,14005
1/3/2024 13:50,2024-00000578,1600 WESTHEIMER DR,Test Call,OK0140200
1/3/2024 13:53,2024-00000576,W MAIN ST / 26TH AVE SW MVA,Non Injury,OK0140200
1/3/2024 13:55,2024-00000574,E ACRES ST / N PETERS AVE,Contact a Subject,OK0140200
1/3/2024 13:56,2024-00000117,1705 DAKOTA ST,Chest Pain,14005
1/3/2024 13:56,2024-00000154,1705 DAKOTA ST,Chest Pain,EMSSTAT
1/3/2024 13:56,2024-00000575,424 24TH AVE NE,Traffic Stop,OK0140200
1/3/2024 13:57,2024-00000577,1709 N PORTER AVE,Traffic Stop,OK0140200
1/3/2024 13:58,2024-00000118,1035 RALEIGH CIR,Overdose/Poisoning,14005
1/3/2024 13:58,2024-00000155,1035 RALEIGH CIR,Overdose/Poisoning,EMSSTAT
1/3/2024 14:03,2024-00000579,2904 SLOANE ST,Parking Problem,OK0140200
1/3/2024 14:07,2024-00000589,4102 HERITAGE PLACE DR,Stolen Vehicle,OK0140200
1/3/2024 14:09,2024-00000583,312 THOMPSON DR,Animal Dead,OK0140200
1/3/2024 14:12,2024-00000580,RAMBLING OAKS DR / 36TH AVE NW,Animal Dead,OK0140200
1/3/2024 14:15,2024-00000581,EAST GRAY ST AND PETERS AVE,Follow Up,OK0140200
1/3/2024 14:17,2024-00000582,1332 N PORTER AVE,Traffic Stop,OK0140200
1/3/2024 14:23,2024-00000157,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
1/3/2024 14:23,2024-00000585,3101 BIRMINGHAM DR,Parking Problem,OK0140200
1/3/2024 14:25,2024-00000584,CADDELL LN / S BERRY RD,Traffic Stop,OK0140200
1/3/2024 14:26,2024-00000602,2705 DALEWOOD PL,Burglary,OK0140200
1/3/2024 14:30,2024-00000586,300 W LINDSEY ST,Traffic Stop,OK0140200

1/3/2024 14:35,2024-00000587,121 WILLOWAY DR,Animal at Large,OK0140200
1/3/2024 14:36,2024-00000170,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 14:37,2024-00000590,2212 MERIDIAN DR,Follow Up,OK0140200
1/3/2024 14:49,2024-00000591,1170 ALAMEDA ST,Traffic Stop,OK0140200
1/3/2024 14:49,2024-00000592,746 E LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 14:52,2024-00000597,1525 E LINDSEY ST,Disturbance/Domestic,OK0140200
1/3/2024 14:55,2024-00000593,1979 E LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 14:56,2024-00000594,990 N FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 14:57,2024-00000595,2926 QUEENSTON AVE,Welfare Check,OK0140200
1/3/2024 14:57,2024-00000596,1466 24TH AVE SE,Follow Up,OK0140200
1/3/2024 15:02,2024-00000627,THISTLEWOOD DR / HUNTERS HILL RD,Check Area,OK0140200
1/3/2024 15:02,2024-00000598,201 W GRAY ST,Disturbance/Domestic,OK0140200
1/3/2024 15:05,2024-00000599,3619 DELLA ST NW,Welfare Check,OK0140200
1/3/2024 15:09,2024-00000161,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 15:10,2024-00000625,3301 W MAIN ST,Hit and Run,OK0140200
1/3/2024 15:11,2024-00000667,1510 WESTFIELD CIR,Warrant Service,OK0140200
1/3/2024 15:15,2024-00000120,200 VICKSBURG AVE,Sick Person,14005
1/3/2024 15:15,2024-00000158,200 VICKSBURG AVE,Sick Person,EMSSTAT
1/3/2024 15:17,2024-00000604,2428 9TH AVE NE,Traffic Stop,OK0140200
1/3/2024 15:22,2024-00000605,CLASSEN BLVD / ANN BRANDEN BLVD,Traffic Stop,OK0140200
1/3/2024 15:26,2024-00000622,809 RYE RD,Larceny,OK0140200
1/3/2024 15:26,2024-00000159,4501 W MAIN ST,Sick Person,EMSSTAT
1/3/2024 15:27,2024-00000606,1879 N FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 15:28,2024-00000607,631 E EUFAULA ST,Welfare Check,OK0140200
1/3/2024 15:30,2024-00000637,515 W GRAY ST,Fraud,OK0140200
1/3/2024 15:31,2024-00000614,2132 W MAIN ST,Supplement Report,OK0140200
1/3/2024 15:32,2024-00000616,409 ELM AVE,Alarm,OK0140200
1/3/2024 15:34,2024-00000121,121 OLDE BROOK CT,Public Assist,14005
1/3/2024 15:35,2024-00000620,600 CHESAPEAKE ST,Parking Problem,OK0140200
1/3/2024 15:37,2024-00000608,767 N FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 15:37,2024-00000611,1111 OAK TREE AVE,Welfare Check,OK0140200
1/3/2024 15:37,2024-00000609,1500 N FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 15:38,2024-00000610,1210 OAKHURST AVE,Traffic Stop,OK0140200
1/3/2024 15:39,2024-00000612,3305 CORPORATE CENTRE DR 911,Call Nature Unknown,OK0140200
1/3/2024 15:40,2024-00000613,E JOHNSON ST / N PETERS AVE,Welfare Check,OK0140200
1/3/2024 15:44,2024-00000163,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 15:46,2024-00000615,1525 W ROBINSON ST,Traffic Stop,OK0140200
1/3/2024 15:48,2024-00000617,501 ALAMEDA ST,Welfare Check,OK0140200
1/3/2024 15:54,2024-00000618,219 N FLOOD AVE,Animal Dead,OK0140200
1/3/2024 15:55,2024-00000645,6475 36TH AVE NW,Harassment / Threats Report,OK0140200
1/3/2024 15:56,2024-00000619,4616 MIDWAY DR,Parking Problem,OK0140200
1/3/2024 16:03,2024-00000621,48TH AVE SE / E STATE HWY 9 HWY,Welfare Check,OK0140200
1/3/2024 16:04,2024-00000641,1914 ITHACA DR,Harassment / Threats Report,OK0140200
1/3/2024 16:13,2024-00000626,2604 LERKIM LN,Open Door/Premises Check,OK0140200
1/3/2024 16:16,2024-00000623,2202 24TH AVE NW,Larceny,OK0140200
1/3/2024 16:17,2024-00000624,425 12TH AVE NE MVA,Non Injury,OK0140200
1/3/2024 16:23,2024-00000122,817 W EUFAULA ST,Medical Call Pd Requested,14005
1/3/2024 16:23,2024-00000162,817 W EUFAULA ST,Medical Call Pd Requested,EMSSTAT
1/3/2024 16:34,2024-00000123,601 NIGHT HAWK DR,Sick Person,14005
1/3/2024 16:34,2024-00000164,601 NIGHT HAWK DR,Sick Person,EMSSTAT
1/3/2024 16:35,2024-00000628,439 S FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 16:35,2024-00000642,5824 ALAMEDA ST,Harassment / Threats Report,OK0140200
1/3/2024 16:40,2024-00000629,992 E TECUMSEH RD,Traffic Stop,OK0140200
1/3/2024 16:41,2024-00000124,1223 E BOYD ST,Headache,14005
1/3/2024 16:41,2024-00000165,1223 E BOYD ST,Headache,EMSSTAT
1/3/2024 16:42,2024-00000630,2073 W LINDSEY ST,Trespassing,OK0140200
1/3/2024 16:42,2024-00000125,2803 24TH AVE NW,Sick Person,14005
1/3/2024 16:42,2024-00000166,2803 24TH AVE NW,Sick Person,EMSSTAT
1/3/2024 16:49,2024-00000632,401 12TH AVE SE,Trespassing,OK0140200
1/3/2024 16:50,2024-00000631,3300 12TH AVE NE,Traffic Stop,OK0140200
1/3/2024 16:57,2024-00000633,101 CRESTLAND DR,Animal at Large,OK0140200
1/3/2024 16:58,2024-00000634,115 CRYSTAL BEND,Animal at Large,OK0140200
1/3/2024 17:03,2024-00000635,W LINDSEY ST / 24TH AVE SW,Traffic Stop,OK0140200
1/3/2024 17:04,2024-00000639,W ROCK CREEK RD / PENDLETON DR,Contact a Subject,OK0140200
1/3/2024 17:06,2024-00000172,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 17:07,2024-00000167,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
1/3/2024 17:07,2024-00000636,N PORTER AVE / E ROCK CREEK RD,Check Area,OK0140200
1/3/2024 17:13,2024-00000168,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 17:13,2024-00000638,24TH AVE SW / GEORGE L CROSS DR,Traffic Stop,OK0140200
1/3/2024 17:14,2024-00000126,2800 N I35 SB I,Fire Vehicle,14005
1/3/2024 17:16,2024-00000640,2322 WESTPARK DR,Alarm,OK0140200
1/3/2024 17:23,2024-00000643,917 N PICKARD AVE,Runaway or Lost Child,OK0140200
1/3/2024 17:24,2024-00000173,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 17:28,2024-00000644,1700 LENOX DR,Larceny,OK0140200
1/3/2024 17:29,2024-00000171,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
1/3/2024 17:36,2024-00000646,541 12TH AVE NE,Alarm,OK0140200
1/3/2024 17:39,2024-00000649,1600 WILDERNESS DR,Welfare Check,OK0140200
1/3/2024 17:40,2024-00000647,362 S WEBSTER AVE,Traffic Stop,OK0140200
1/3/2024 17:42,2024-00000169,4000 CEMETERY RD,Breathing Problems,EMSSTAT
1/3/2024 17:43,2024-00000648,1491 ALAMEDA ST,Traffic Stop,OK0140200
1/3/2024 17:52,2024-00000650,2098 CRYSTAL CIR,Check Area,OK0140200
1/3/2024 17:54,2024-00000653,1112 MCGEE DR,Check Area,OK0140200
1/3/2024 17:57,2024-00000652,317 EMELYN ST,Alarm,OK0140200
1/3/2024 18:02,2024-00000651,6160 E STATE HWY 9 HWY,Traffic Stop,OK0140200
1/3/2024 18:07,2024-00000654,STUBBEMAN AVE / W ROBINSON ST,Check Area,OK0140200
1/3/2024 18:25,2024-00000655,707 24TH AVE SW,Alarm,OK0140200
1/3/2024 18:30,2024-00000656,601 12TH AVE NE,Larceny,OK0140200
1/3/2024 18:34,2024-00000127,1515 W MAIN ST,Fire Alarm,14005
1/3/2024 18:41,2024-00000657,917 24TH AVE SW,Disturbance/Domestic,OK0140200
1/3/2024 18:47,2024-00000658,3301 W MAIN ST,Traffic Stop,OK0140200
1/3/2024 18:55,2024-00000659,1310 ALAMEDA ST,Traffic Stop,OK0140200
1/3/2024 19:03,2024-00000660,1601 E IMHOFF RD,Burglary,OK0140200
1/3/2024 19:03,2024-00000661,3308 TECUMSEH MEADOWS WAY,Disturbance/Domestic,OK0140200
1/3/2024 19:09,2024-00000662,136 24TH AVE SE,Traffic Stop,OK0140200
1/3/2024 19:10,2024-00000128,3110 HEALTHPLEX DR,Sick Person,14005
1/3/2024 19:10,2024-00000174,3110 HEALTHPLEX DR,Sick Person,EMSSTAT
1/3/2024 19:13,2024-00000674,1525 E LINDSEY ST,Contact a Subject,OK0140200
1/3/2024 19:14,2024-00000665,1000 CORBETT DR,Fraud,OK0140200
1/3/2024 19:14,2024-00000175,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 19:16,2024-00000663,3354 W ROBINSON ST,Traffic Stop,OK0140200
1/3/2024 19:17,2024-00000664,318 E HAYES ST,Disturbance/Domestic,OK0140200
1/3/2024 19:21,2024-00000666,601 12TH AVE NE,Disturbance/Domestic,OK0140200
1/3/2024 19:26,2024-00000668,1200 N I35 SB I,Mutual Aid,OK0140200
1/3/2024 19:31,2024-00000669,1231 N PORTER AVE,Traffic Stop,OK0140200
1/3/2024 19:33,2024-00000176,1776 E ROBINSON ST,Falls,EMSSTAT
1/3/2024 19:34,2024-00000676,3308 TECUMSEH MEADOWS WAY,Contact a Subject,OK0140200
1/3/2024 19:35,2024-00000670,1168 E MAIN ST,Contact a Subject,OK0140200
1/3/2024 19:35,2024-00000671,1309 CROWN POINT AVE,Vandalism,OK0140200
1/3/2024 19:46,2024-00000677,W TECUMSEH RD / I35 NB OFF RAMP 112 RAMP,Motorist Assist,OK0140200
1/3/2024 19:51,2024-00000672,1600 WILDERNESS DR,Follow Up,OK0140200
1/3/2024 19:52,2024-00000678,3308 TECUMSEH MEADOWS WAY,Assault,OK0140200
1/3/2024 19:53,2024-00000673,2450 W ROBINSON ST,Traffic Stop,OK0140200
1/3/2024 19:56,2024-00000675,24TH AVE NW / W ROBINSON ST,Traffic Stop,OK0140200
